"alt_06.tif" "alt_07.tif" "alt_11.tif" "alt_12.tif" "alt_13.tif" "alt_15.tif" "alt_16.tif" "alt_17.tif" "alt_18.tif" "bio1_06.tif" "bio1_07.tif" "bio1_11.tif" "bio1_12.tif" "bio1_13.tif" "bio1_15.tif" "bio1_16.tif" "bio1_17.tif" "bio1_18.tif" "bio10_06.tif" "bio10_07.tif" "bio10_11.tif" "bio10_12.tif" "bio10_13.tif" "bio10_15.tif" "bio10_16.tif" "bio10_17.tif" "bio10_18.tif" "bio11_06.tif" "bio11_07.tif" "bio11_11.tif" "bio11_12.tif" "bio11_13.tif" "bio11_15.tif" "bio11_16.tif" "bio11_17.tif" "bio11_18.tif" "bio12_06.tif" "bio12_07.tif" "bio12_11.tif" "bio12_12.tif" "bio12_13.tif" "bio12_15.tif" "bio12_16.tif" "bio12_17.tif" "bio12_18.tif" "bio13_06.tif" "bio13_07.tif" "bio13_11.tif" "bio13_12.tif" "bio13_13.tif" "bio13_15.tif" "bio13_16.tif" "bio13_17.tif" "bio13_18.tif" "bio14_06.tif" "bio14_07.tif" "bio14_11.tif" "bio14_12.tif" "bio14_13.tif" "bio14_15.tif" "bio14_16.tif" "bio14_17.tif" "bio14_18.tif" "bio15_06.tif" "bio15_07.tif" "bio15_11.tif" "bio15_12.tif" "bio15_13.tif" "bio15_15.tif" "bio15_16.tif" "bio15_17.tif" "bio15_18.tif" "bio16_06.tif" "bio16_07.tif" "bio16_11.tif" "bio16_12.tif" "bio16_13.tif" "bio16_15.tif" "bio16_16.tif" "bio16_17.tif" "bio16_18.tif" "bio17_06.tif" "bio17_07.tif" "bio17_11.tif" "bio17_12.tif" "bio17_13.tif" "bio17_15.tif" "bio17_16.tif" "bio17_17.tif" "bio17_18.tif" "bio18_06.tif" "bio18_07.tif" "bio18_11.tif" "bio18_12.tif" "bio18_13.tif" "bio18_15.tif" "bio18_16.tif" "bio18_17.tif" "bio18_18.tif" "bio19_06.tif" "bio19_07.tif" "bio19_11.tif" "bio19_12.tif" "bio19_13.tif" "bio19_15.tif" "bio19_16.tif" "bio19_17.tif" "bio19_18.tif" "bio2_06.tif" "bio2_07.tif" "bio2_11.tif" "bio2_12.tif" "bio2_13.tif" "bio2_15.tif" "bio2_16.tif" "bio2_17.tif" "bio2_18.tif" "bio3_06.tif" "bio3_07.tif" "bio3_11.tif" "bio3_12.tif" "bio3_13.tif" "bio3_15.tif" "bio3_16.tif" "bio3_17.tif" "bio3_18.tif" "bio4_06.tif" "bio4_07.tif" "bio4_11.tif" "bio4_12.tif" "bio4_13.tif" "bio4_15.tif" "bio4_16.tif" "bio4_17.tif" "bio4_18.tif" "bio5_06.tif" "bio5_07.tif" "bio5_11.tif" "bio5_12.tif" "bio5_13.tif" "bio5_15.tif" "bio5_16.tif" "bio5_17.tif" "bio5_18.tif" "bio6_06.tif" "bio6_07.tif" "bio6_11.tif" "bio6_12.tif" "bio6_13.tif" "bio6_15.tif" "bio6_16.tif" "bio6_17.tif" "bio6_18.tif" "bio7_06.tif" "bio7_07.tif" "bio7_11.tif" "bio7_12.tif" "bio7_13.tif" "bio7_15.tif" "bio7_16.tif" "bio7_17.tif" "bio7_18.tif" "bio8_06.tif" "bio8_07.tif" "bio8_11.tif" "bio8_12.tif" "bio8_13.tif" "bio8_15.tif" "bio8_16.tif" "bio8_17.tif" "bio8_18.tif" "bio9_06.tif" "bio9_07.tif" "bio9_11.tif" "bio9_12.tif" "bio9_13.tif" "bio9_15.tif" "bio9_16.tif" "bio9_17.tif" "bio9_18.tif"
"216493161" NA NA NA 1139 NA NA NA NA NA NA NA NA 60 NA NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA NA -26 NA NA NA NA NA NA NA NA 717 NA NA NA NA NA NA NA NA 98 NA NA NA NA NA NA NA NA 18 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 289 NA NA NA NA NA NA NA NA 77 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 268 NA NA NA NA NA NA NA NA 133 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 6887 NA NA NA NA NA NA NA NA 262 NA NA NA NA NA NA NA NA -76 NA NA NA NA NA NA NA NA 338 NA NA NA NA NA NA NA NA -20 NA NA NA NA NA NA NA NA 148 NA NA NA NA NA
"216493162" NA NA 942 NA NA NA NA NA NA NA NA 61 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA -46 NA NA NA NA NA NA NA NA 412 NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA 11 NA NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA 190 NA NA NA NA NA NA NA NA 47 NA NA NA NA NA NA NA NA 53 NA NA NA NA NA NA NA NA 171 NA NA NA NA NA NA NA NA 122 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 8299 NA NA NA NA NA NA NA NA 265 NA NA NA NA NA NA NA NA -98 NA NA NA NA NA NA NA NA 363 NA NA NA NA NA NA NA NA -39 NA NA NA NA NA NA NA NA 163 NA NA NA NA NA NA
"216493443" NA NA NA 1448 NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA 157 NA NA NA NA NA NA NA NA -40 NA NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA NA 41 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 116 NA NA NA NA NA NA NA NA 47 NA NA NA NA NA NA NA NA 57 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA NA 41 NA NA NA NA NA NA NA NA 7615 NA NA NA NA NA NA NA NA 279 NA NA NA NA NA NA NA NA -109 NA NA NA NA NA NA NA NA 388 NA NA NA NA NA NA NA NA -32 NA NA NA NA NA NA NA NA 152 NA NA NA NA NA
"217906593" NA NA 421 NA NA NA NA NA NA NA NA 90 NA NA NA NA NA NA NA NA 188 NA NA NA NA NA NA NA NA -8 NA NA NA NA NA NA NA NA 256 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA 53 NA NA NA NA NA NA NA NA 118 NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA 32 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 7621 NA NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA NA -64 NA NA NA NA NA NA NA NA 356 NA NA NA NA NA NA NA NA -3 NA NA NA NA NA NA NA NA 183 NA NA NA NA NA NA
"217911152" NA NA NA 1658 NA NA NA NA NA NA NA NA 86 NA NA NA NA NA NA NA NA 201 NA NA NA NA NA NA NA NA -24 NA NA NA NA NA NA NA NA 365 NA NA NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA 8 NA NA NA NA NA NA NA NA 69 NA NA NA NA NA NA NA NA 180 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 174 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 167 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 8762 NA NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA NA -113 NA NA NA NA NA NA NA NA 419 NA NA NA NA NA NA NA NA 175 NA NA NA NA NA NA NA NA -24 NA NA NA NA NA
"217911153" NA NA 1084 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA 151 NA NA NA NA NA NA NA NA -65 NA NA NA NA NA NA NA NA 475 NA NA NA NA NA NA NA NA 76 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA 206 NA NA NA NA NA NA NA NA 71 NA NA NA NA NA NA NA NA 77 NA NA NA NA NA NA NA NA 190 NA NA NA NA NA NA NA NA 130 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 8413 NA NA NA NA NA NA NA NA 250 NA NA NA NA NA NA NA NA -124 NA NA NA NA NA NA NA NA 374 NA NA NA NA NA NA NA NA -57 NA NA NA NA NA NA NA NA 146 NA NA NA NA NA NA
"217911776" NA NA 511 NA NA NA NA NA NA NA NA 82 NA NA NA NA NA NA NA NA 180 NA NA NA NA NA NA NA NA -17 NA NA NA NA NA NA NA NA 363 NA NA NA NA NA NA NA NA 63 NA NA NA NA NA NA NA NA 8 NA NA NA NA NA NA NA NA 59 NA NA NA NA NA NA NA NA 176 NA NA NA NA NA NA NA NA 36 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA NA 38 NA NA NA NA NA NA NA NA 7690 NA NA NA NA NA NA NA NA 282 NA NA NA NA NA NA NA NA -73 NA NA NA NA NA NA NA NA 355 NA NA NA NA NA NA NA NA -12 NA NA NA NA NA NA NA NA 176 NA NA NA NA NA NA
"217911777" NA NA 1043 NA NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA NA -43 NA NA NA NA NA NA NA NA 765 NA NA NA NA NA NA NA NA 135 NA NA NA NA NA NA NA NA 15 NA NA NA NA NA NA NA NA 64 NA NA NA NA NA NA NA NA 380 NA NA NA NA NA NA NA NA 69 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 349 NA NA NA NA NA NA NA NA 115 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 7481 NA NA NA NA NA NA NA NA 240 NA NA NA NA NA NA NA NA -91 NA NA NA NA NA NA NA NA 331 NA NA NA NA NA NA NA NA -37 NA NA NA NA NA NA NA NA 146 NA NA NA NA NA NA
"224897438" NA NA 3 NA NA NA NA NA NA NA NA 110 NA NA NA NA NA NA NA NA 174 NA NA NA NA NA NA NA NA 51 NA NA NA NA NA NA NA NA 945 NA NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA 434 NA NA NA NA NA NA NA NA 85 NA NA NA NA NA NA NA NA 85 NA NA NA NA NA NA NA NA 393 NA NA NA NA NA NA NA NA 86 NA NA NA NA NA NA NA NA 38 NA NA NA NA NA NA NA NA 4893 NA NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA NA 16 NA NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA NA 55 NA NA NA NA NA NA NA NA 174 NA NA NA NA NA NA
"224897439" NA NA 67 NA NA NA NA NA NA NA NA 97 NA NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 580 NA NA NA NA NA NA NA NA 85 NA NA NA NA NA NA NA NA 19 NA NA NA NA NA NA NA NA 49 NA NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 227 NA NA NA NA NA NA NA NA 78 NA NA NA NA NA NA NA NA 41 NA NA NA NA NA NA NA NA 4012 NA NA NA NA NA NA NA NA 206 NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA 189 NA NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA 149 NA NA NA NA NA NA
"224897443" NA NA NA 741 NA NA NA NA NA NA NA NA 74 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA -26 NA NA NA NA NA NA NA NA 624 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 251 NA NA NA NA NA NA NA NA 83 NA NA NA NA NA NA NA NA 98 NA NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA NA 127 NA NA NA NA NA NA NA NA 35 NA NA NA NA NA NA NA NA 7957 NA NA NA NA NA NA NA NA 284 NA NA NA NA NA NA NA NA -74 NA NA NA NA NA NA NA NA 358 NA NA NA NA NA NA NA NA -20 NA NA NA NA NA NA NA NA 171 NA NA NA NA NA
"224897455" NA NA 67 NA NA NA NA NA NA NA NA 97 NA NA NA NA NA NA NA NA 154 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 583 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 18 NA NA NA NA NA NA NA NA 46 NA NA NA NA NA NA NA NA 247 NA NA NA NA NA NA NA NA 72 NA NA NA NA NA NA NA NA 72 NA NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA NA 89 NA NA NA NA NA NA NA NA 41 NA NA NA NA NA NA NA NA 4454 NA NA NA NA NA NA NA NA 220 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA 214 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA 154 NA NA NA NA NA NA
"224897458" NA NA 221 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 216 NA NA NA NA NA NA NA NA -6 NA NA NA NA NA NA NA NA 261 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA 55 NA NA NA NA NA NA NA NA 122 NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 111 NA NA NA NA NA NA NA NA 122 NA NA NA NA NA NA NA NA 33 NA NA NA NA NA NA NA NA 8606 NA NA NA NA NA NA NA NA 310 NA NA NA NA NA NA NA NA -55 NA NA NA NA NA NA NA NA 365 NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA 210 NA NA NA NA NA NA
"224897461" NA NA 7 NA NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA NA 194 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 1124 NA NA NA NA NA NA NA NA 198 NA NA NA NA NA NA NA NA 11 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 565 NA NA NA NA NA NA NA NA 63 NA NA NA NA NA NA NA NA 63 NA NA NA NA NA NA NA NA 531 NA NA NA NA NA NA NA NA 112 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 6322 NA NA NA NA NA NA NA NA 278 NA NA NA NA NA NA NA NA -9 NA NA NA NA NA NA NA NA 287 NA NA NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA 194 NA NA NA NA NA NA
"224897481" NA NA 34 NA NA NA NA NA NA NA NA 107 NA NA NA NA NA NA NA NA 171 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 1109 NA NA NA NA NA NA NA NA 159 NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 473 NA NA NA NA NA NA NA NA 121 NA NA NA NA NA NA NA NA 121 NA NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA NA 93 NA NA NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA 4843 NA NA NA NA NA NA NA NA 240 NA NA NA NA NA NA NA NA 10 NA NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA 171 NA NA NA NA NA NA
"224897484" NA NA NA 127 NA NA NA NA NA NA NA NA 120 NA NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA 211 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 5 NA NA NA NA NA NA NA NA 43 NA NA NA NA NA NA NA NA 86 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA 78 NA NA NA NA NA NA NA NA 130 NA NA NA NA NA NA NA NA 37 NA NA NA NA NA NA NA NA 7748 NA NA NA NA NA NA NA NA 320 NA NA NA NA NA NA NA NA -29 NA NA NA NA NA NA NA NA 349 NA NA NA NA NA NA NA NA 26 NA NA NA NA NA NA NA NA 214 NA NA NA NA NA
"224897506" NA NA NA 143 NA NA NA NA NA NA NA NA 119 NA NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 245 NA NA NA NA NA NA NA NA 36 NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 98 NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA 31 NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 131 NA NA NA NA NA NA NA NA 37 NA NA NA NA NA NA NA NA 7717 NA NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA NA -29 NA NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA NA 26 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA
"224897562" NA NA 832 NA NA NA NA NA NA NA NA 59 NA NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA NA -25 NA NA NA NA NA NA NA NA 1365 NA NA NA NA NA NA NA NA 248 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 704 NA NA NA NA NA NA NA NA 98 NA NA NA NA NA NA NA NA 98 NA NA NA NA NA NA NA NA 649 NA NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA NA 37 NA NA NA NA NA NA NA NA 6768 NA NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA NA -69 NA NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA NA -20 NA NA NA NA NA NA NA NA 147 NA NA NA NA NA NA
"224897620" NA NA NA 1999 NA NA NA NA NA NA NA NA 93 NA NA NA NA NA NA NA NA 194 NA NA NA NA NA NA NA NA -3 NA NA NA NA NA NA NA NA 378 NA NA NA NA NA NA NA NA 74 NA NA NA NA NA NA NA NA 9 NA NA NA NA NA NA NA NA 72 NA NA NA NA NA NA NA NA 193 NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA 193 NA NA NA NA NA NA NA NA 29 NA NA NA NA NA NA NA NA 167 NA NA NA NA NA NA NA NA 43 NA NA NA NA NA NA NA NA 7701 NA NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA NA -96 NA NA NA NA NA NA NA NA 384 NA NA NA NA NA NA NA NA 194 NA NA NA NA NA NA NA NA -3 NA NA NA NA NA
"224897634" NA NA NA 1293 NA NA NA NA NA NA NA NA 111 NA NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA NA -10 NA NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA NA 61 NA NA NA NA NA NA NA NA 7 NA NA NA NA NA NA NA NA 65 NA NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 181 NA NA NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA 9450 NA NA NA NA NA NA NA NA 339 NA NA NA NA NA NA NA NA -111 NA NA NA NA NA NA NA NA 450 NA NA NA NA NA NA NA NA 209 NA NA NA NA NA NA NA NA -10 NA NA NA NA NA
"224897636" NA NA NA 1438 NA NA NA NA NA NA NA NA 97 NA NA NA NA NA NA NA NA 216 NA NA NA NA NA NA NA NA -18 NA NA NA NA NA NA NA NA 391 NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA 7 NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA 195 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 179 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 170 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 9098 NA NA NA NA NA NA NA NA 321 NA NA NA NA NA NA NA NA -109 NA NA NA NA NA NA NA NA 430 NA NA NA NA NA NA NA NA 190 NA NA NA NA NA NA NA NA -18 NA NA NA NA NA
"224897637" NA NA NA 1658 NA NA NA NA NA NA NA NA 86 NA NA NA NA NA NA NA NA 201 NA NA NA NA NA NA NA NA -24 NA NA NA NA NA NA NA NA 365 NA NA NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA 8 NA NA NA NA NA NA NA NA 69 NA NA NA NA NA NA NA NA 180 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 174 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 167 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 8762 NA NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA NA -113 NA NA NA NA NA NA NA NA 419 NA NA NA NA NA NA NA NA 175 NA NA NA NA NA NA NA NA -24 NA NA NA NA NA
"224897648" NA NA NA 2281 NA NA NA NA NA NA NA NA 37 NA NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA NA -82 NA NA NA NA NA NA NA NA 376 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA 22 NA NA NA NA NA NA NA NA 120 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 119 NA NA NA NA NA NA NA NA 70 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA 8923 NA NA NA NA NA NA NA NA 266 NA NA NA NA NA NA NA NA -171 NA NA NA NA NA NA NA NA 437 NA NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA NA -82 NA NA NA NA NA
"224897649" NA NA NA NA 188 NA NA NA NA NA NA NA NA 68 NA NA NA NA NA NA NA NA 185 NA NA NA NA NA NA NA NA -56 NA NA NA NA NA NA NA NA 798 NA NA NA NA NA NA NA NA 101 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 263 NA NA NA NA NA NA NA NA 134 NA NA NA NA NA NA NA NA 225 NA NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA NA 109 NA NA NA NA NA NA NA NA 28 NA NA NA NA NA NA NA NA 9442 NA NA NA NA NA NA NA NA 263 NA NA NA NA NA NA NA NA -121 NA NA NA NA NA NA NA NA 384 NA NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA NA -50 NA NA NA NA
"224897650" NA NA 1182 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA NA -68 NA NA NA NA NA NA NA NA 571 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 50 NA NA NA NA NA NA NA NA 259 NA NA NA NA NA NA NA NA 80 NA NA NA NA NA NA NA NA 82 NA NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA NA 127 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 8220 NA NA NA NA NA NA NA NA 241 NA NA NA NA NA NA NA NA -125 NA NA NA NA NA NA NA NA 366 NA NA NA NA NA NA NA NA -60 NA NA NA NA NA NA NA NA 139 NA NA NA NA NA NA
"224897654" NA NA 1182 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA NA -68 NA NA NA NA NA NA NA NA 571 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA NA NA NA 50 NA NA NA NA NA NA NA NA 259 NA NA NA NA NA NA NA NA 80 NA NA NA NA NA NA NA NA 82 NA NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA NA 127 NA NA NA NA NA NA NA NA 34 NA NA NA NA NA NA NA NA 8220 NA NA NA NA NA NA NA NA 241 NA NA NA NA NA NA NA NA -125 NA NA NA NA NA NA NA NA 366 NA NA NA NA NA NA NA NA -60 NA NA NA NA NA NA NA NA 139 NA NA NA NA NA NA
"224897657" NA NA NA 1552 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 205 NA NA NA NA NA NA NA NA -12 NA NA NA NA NA NA NA NA 383 NA NA NA NA NA NA NA NA 65 NA NA NA NA NA NA NA NA 12 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 158 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 120 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA NA 39 NA NA NA NA NA NA NA NA 8445 NA NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA NA -101 NA NA NA NA NA NA NA NA 409 NA NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA NA -12 NA NA NA NA NA
"224897709" NA NA NA 1789 NA NA NA NA NA NA NA NA 90 NA NA NA NA NA NA NA NA 199 NA NA NA NA NA NA NA NA -11 NA NA NA NA NA NA NA NA 433 NA NA NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA 12 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 157 NA NA NA NA NA NA NA NA 44 NA NA NA NA NA NA NA NA 169 NA NA NA NA NA NA NA NA 41 NA NA NA NA NA NA NA NA 8188 NA NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA NA -104 NA NA NA NA NA NA NA NA 407 NA NA NA NA NA NA NA NA 174 NA NA NA NA NA NA NA NA -11 NA NA NA NA NA
"224897780" NA NA NA 1710 NA NA NA NA NA NA NA NA 95 NA NA NA NA NA NA NA NA 204 NA NA NA NA NA NA NA NA -7 NA NA NA NA NA NA NA NA 434 NA NA NA NA NA NA NA NA 67 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 144 NA NA NA NA NA NA NA NA 48 NA NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA 8227 NA NA NA NA NA NA NA NA 304 NA NA NA NA NA NA NA NA -98 NA NA NA NA NA NA NA NA 402 NA NA NA NA NA NA NA NA 178 NA NA NA NA NA NA NA NA -7 NA NA NA NA NA
"224897790" NA NA NA 1719 NA NA NA NA NA NA NA NA 94 NA NA NA NA NA NA NA NA 203 NA NA NA NA NA NA NA NA -5 NA NA NA NA NA NA NA NA 424 NA NA NA NA NA NA NA NA 66 NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA NA 46 NA NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA NA 46 NA NA NA NA NA NA NA NA 159 NA NA NA NA NA NA NA NA 40 NA NA NA NA NA NA NA NA 8093 NA NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA NA -92 NA NA NA NA NA NA NA NA 392 NA NA NA NA NA NA NA NA 176 NA NA NA NA NA NA NA NA -5 NA NA NA NA NA
"224897791" NA NA NA 2719 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA 122 NA NA NA NA NA NA NA NA -64 NA NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA NA 59 NA NA NA NA NA NA NA NA 30 NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 97 NA NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA NA 97 NA NA NA NA NA NA NA NA 155 NA NA NA NA NA NA NA NA 42 NA NA NA NA NA NA NA NA 7344 NA NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA NA -140 NA NA NA NA NA NA NA NA 366 NA NA NA NA NA NA NA NA 99 NA NA NA NA NA NA NA NA -64 NA NA NA NA NA
