tagged	pop	mom	Origin	germ start	retag/plant	comment	planting date
US013-5	US002	9	inv	4/15/2011			4/29/2011
US013-6	US002	5	inv	4/15/2011			4/29/2011
US013-7	US002	9	inv	4/15/2011		1 LF	4/29/2011
US013-8	US002	9	inv	4/15/2011			4/29/2011
CORY2-1	US003	7	inv	4/15/2011			4/29/2011
CORY2-2	US003	20	inv	4/15/2011		1 LF	4/29/2011
CORY2-6	US003	20	inv	4/15/2011			4/29/2011
CORY2-8	US003	25	inv	4/15/2011		1 LF	4/29/2011
CORY2-9	US003	7	inv	4/15/2011		1 LF	4/29/2011
US003-1	US003	27	inv	4/15/2011		2 LF	4/28/2011
US003-2	US003	25	inv	4/15/2011		1 LF	4/28/2011
US003-3	US003	27	inv	4/15/2011		1 LF	4/28/2011
US003-4	US003	25	inv	4/15/2011		1 LF	4/28/2011
US003-5	US003	20	inv	4/15/2011			4/28/2011
US003-6	US003	7	inv	4/15/2011		1 LF	4/28/2011
US003-7	US003	7	inv	4/15/2011		1 LF	4/28/2011
US003-8	US003	20	inv	4/15/2011		1 LF	4/28/2011
US003-9	US003	7	inv	4/15/2011		1 LF	4/28/2011
US012-1	US003	20	inv	4/15/2011			4/29/2011
US012-2	US003	20	inv	4/15/2011			4/29/2011
US012-3	US003	27	inv	4/15/2011			4/29/2011
US012-4	US003	27	inv	4/15/2011		2 LF	4/29/2011
US012-5	US003	27	inv	4/15/2011		2 LF	4/29/2011
US012-6	US003	27	inv	4/15/2011		1 LF	4/29/2011
US012-7	US003	27	inv	4/15/2011			4/29/2011
EDGE-39	US014	16	inv	4/15/2011		2 LF	4/30/2011
